Ano,Mes,TasaPais,TasaMontevideo,TasaInterior
2006,1,13.2,12.34,13.84
2006,2,12.19,11.49,12.69
2006,3,11.8,12.51,11.26
2006,4,10.93,10.75,11.07
2006,5,10.52,10.43,10.59
2006,6,10.54,10.14,10.83
2006,7,10.44,9.73,10.94
2006,8,10.68,10.24,11.02
2006,9,10.49,10.31,10.63
2006,10,9.54,9.57,9.52
2006,11,9.76,9.67,9.82
2006,12,8.95,8.69,9.14
2007,1,9.96,9.34,10.42
2007,2,10.09,8.49,11.34
2007,3,9.94,8.72,10.89
2007,4,9.62,8.82,10.21
2007,5,10.59,10.04,11
2007,6,8.95,8.08,9.6
2007,7,10.06,10.35,9.84
2007,8,8.93,8.79,9.04
2007,9,9.13,9.74,8.67
2007,10,8.71,8.69,8.72
2007,11,8.65,8.81,8.53
2007,12,7.81,7.7,7.89
2008,1,8.91,9.65,8.34
2008,2,8.48,7.63,9.09
2008,3,8.59,8.52,8.65
2008,4,8.04,7.9,8.15
2008,5,7.67,7.55,7.77
2008,6,8.01,8.19,7.87
2008,7,7.84,8.81,7.09
2008,8,7.85,7.24,8.35
2008,9,8.14,7.63,8.51
2008,10,7.51,7.69,7.38
2008,11,6.59,6.71,6.5
2008,12,7.22,6.83,7.51
2009,1,8.24,8.79,7.82
2009,2,8.12,7.81,8.35
2009,3,8.26,8.9,7.72
2009,4,8.77,9.25,8.41
2009,5,8.47,9.04,8.04
2009,6,7.75,8.03,7.54
2009,7,7.25,6.94,7.49
2009,8,7.65,7.48,7.78
2009,9,7.73,7.89,7.61
2009,10,6.73,6.8,6.68
2009,11,7.29,6.93,7.57
2009,12,6.85,6.85,6.85
2010,1,6.83,6.79,6.86
2010,2,7.78,7.53,7.96
2010,3,7.87,8.13,7.7
2010,4,7.22,6.69,7.63
2010,5,8.28,7.62,8.77
2010,6,6.93,7.33,6.66
2010,7,7.37,6.77,7.81
2010,8,6.6,7.2,6.17
2010,9,6.56,6.87,6.34
2010,10,6.49,6.8,6.27
2010,11,6.48,6.56,6.43
2010,12,5.73,5.68,5.76
2011,1,6.73,6.15,7.15
2011,2,6.66,6.81,6.54
2011,3,6.59,5.96,7.07
2011,4,7.17,7.64,6.81
2011,5,6.81,6.34,7.15
2011,6,5.71,6.12,5.4
2011,7,6.33,6.88,5.93
2011,8,6.29,6.65,6.02
2011,9,6.33,6.18,6.44
2011,10,5.98,5.94,6.01
2011,11,5.83,6.03,5.69
2011,12,5.59,6.09,5.2
2012,1,6.1,6.4,5.8
2012,2,6.3,6.2,6.3
2012,3,5.6,5.6,5.7
2012,4,6.3,5.8,6.7
2012,5,7.2,8.7,6
2012,6,7,7.2,6.8
2012,7,6.9,7.4,6.6
2012,8,5.7,6.2,5.3
2012,9,7.1,7.9,6.6
2012,10,5.8,6.9,5.1
2012,11,6.4,6.4,6.4
2012,12,5.6,5.9,5.4
2013,1,7.07,7.64,6.66
2013,2,6.48,7.11,6.03
2013,3,6.94,6.51,7.25
2013,4,6.84,6.99,6.73
2013,5,6.51,6.94,6.2
2013,6,6.47,5.91,6.88
2013,7,6.88,6.69,7.03
2013,8,6,6.52,5.62
2013,9,6.03,5.84,6.16
2013,10,6.37,5.61,6.92
2013,11,6.42,6.72,6.21
2013,12,6.02,5.42,6.45
2014,1,6.72,5.93,7.29
2014,2,7.03,6.44,7.45
2014,3,6.33,7.08,5.8
2014,4,6.8,6.59,6.95
2014,5,6.79,7.15,6.53
2014,6,6.85,6.53,7.08
2014,7,5.67,6.57,5.02
2014,8,6.75,6.82,6.7
2014,9,6.18,6.52,5.93
2014,10,6.65,7.11,6.33
2014,11,7.01,7.88,6.37
2014,12,6.47,5.92,6.86
2015,1,6.59,5.86,7.09
2015,2,7.11,7.13,7.09
2015,3,7.26,7.52,7.06
2015,4,8.12,8.99,7.51
2015,5,7.37,7.55,7.24
2015,6,7.42,7.59,7.29
2015,7,6.97,6.99,6.95
2015,8,7.63,8.78,6.8
2015,9,8.04,8.68,7.58
2015,10,8.54,8.54,8.55
2015,11,7.93,8.35,7.64
2015,12,7.39,7.5,7.3
2016,1,7.74,7.49,7.92
2016,2,8.02,8.73,7.52
2016,3,8,8.24,7.83
2016,4,8.06,8.42,7.8
2016,5,7.85,9,7.02
2016,6,7.52,7.84,7.28
2016,7,8.59,9.69,7.79
2016,8,7.72,8.81,6.93
2016,9,8.39,8.97,7.97
2016,10,7.05,6.75,7.27
2016,11,7.74,7.43,7.96
2016,12,7.74,8.19,7.41
2017,1,8.17,7.46,8.67
2017,2,8.21,8.11,8.28
2017,3,9.02,10.11,8.24
2017,4,8.48,8.87,8.2
2017,5,7.97,8.96,7.24
2017,6,7.83,8.28,7.5
2017,7,7.6,8.03,7.29
2017,8,7.82,7.34,8.16
2017,9,7.58,8.31,7.07
2017,10,7.71,8.12,7.42
2017,11,7.76,7.74,7.78
2017,12,6.92,7.04,6.84
2018,1,8.48,9.45,7.81
2018,2,9.31,9.76,8.99
2018,3,8.48,8.98,8.13
2018,4,8.19,9.17,7.49
2018,5,8.12,8.02,8.2
2018,6,7.93,7.96,7.91
2018,7,7.77,7.8,7.75
2018,8,9.04,8.93,9.11
2018,9,8.65,8.58,8.7
2018,10,8.62,9.7,7.85
2018,11,7.41,7.21,7.55
2018,12,8.43,9.2,7.88
2019,1,8.41,8.97,8.01
2019,2,8.4,8.29,8.48
2019,3,9.46,8.45,10.18
2019,4,7.96,9.05,7.19
2019,5,8.77,9.41,8.3
2019,6,9.77,9.38,10.04
2019,7,9.13,8.6,9.5
2019,8,9.06,9.51,8.74
2019,9,9.47,8.82,9.95
2019,10,8.8,9.18,8.52
2019,11,9.2,8.06,9.99
2019,12,8.5,8.09,8.79
2020,1,8.5,8.79,8.3
2020,2,10.5,10.64,10.39
2020,3,10.1,10.6,9.7
2020,4,9.7,9.2,10
2020,5,9.7,9.4,10
2020,6,10.7,10,11.2
2020,7,10.6,9.6,11.3
2020,8,10.8,10,11.3
2020,9,11,9.4,12.1
2020,10,11.2,9.6,12.3
2020,11,10.9,8.4,12.5
2020,12,10.5,8.4,11.9
2021,1,10.7,9.9,11.2
2021,2,11.1,10.8,11.3
2021,3,9.7,10,9.4
2021,4,9.7,9.8,9.6
2021,5,10.2,9.5,10.7
2021,6,9.4,8.8,9.8
2021,7,10.4,11.3,9.8
2021,8,9.5,10.2,9
2021,9,9.4,10.1,8.9
2021,10,8,8,8
2021,11,7.4,7.3,7.4
2021,12,7,6.6,7.3
2022,1,7.4,7.6,7.2
2022,2,7.3,7.5,7.2
2022,3,7.7,7.4,8
2022,4,7.7,7.6,7.8
2022,5,8.1,8.4,7.8
2022,6,8.4,8.4,8.4
2022,7,8.1,7.9,8.2
2022,8,7.9,7.6,8.2
2022,9,8.3,7.6,8.7
2022,10,7.8,7.1,8.3
2022,11,7.77,7.3,8.1
2022,12,7.9,7.1,8.4
2023,1,8.54,7.9,9
2023,2,8.1,7.6,8.5
2023,3,8.6,7.8,9.1
2023,4,8.77,8.2,9.1
2023,5,8.7,7.3,9.6
2023,6,8.23,7.3,8.8
2023,7,7.77,7.2,8.1
2023,8,8.23,7.3,8.8
2023,9,8.31,8.1,8.5
2023,10,8.59,8.2,8.9
2023,11,8.3,7.3,8.9
2023,12,7.81,6.54,8.63
2024,1,8.55,7.28,9.38
2024,2,8.32,7.73,8.71
2024,3,8.97,7.94,9.64
2024,4,8.97,7.56,9.9
2024,5,8.5,7.7,9.07
2024,6,8.15,7.68,8.46
2024,7,8.34,7.78,8.71
2024,8,8.38,7.71,8.82
2024,9,8.09,7.33,8.59
